dataset_index,full_name,pdes,neo,a,e,i,q,om,w,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
233682,233683 (2008 RG113),233683,N,5.194835196292241,0.0919412693544667,5.946102561344245,4.717215454257872,295.8120742065485,121.4405269225192,3.73397,10.171,279901089621588.3,27990108962158.836,0.9999,C,0.9999,732725365501540.1,9.284167641310047,50046.551030338436,55000.0,1636649.4390089207,964.406779661017,49.52542372881356,1176.1016949152543,2190.0338983050847,1696989862.0922346,50041.546375235404,1696939820.5458593,271028704.8217743,True,direct_cheaper_than_mining,-1696939820.5458593,-1425911115.724085,5.995986032320561
63277, 63278 (2001 DJ29),63278,N,5.221433703783185,0.1278539968782488,12.57732154706623,4.553852535319706,165.1585787202148,342.8562251789664,3.56787,15.005,898714244950153.0,89871424495015.31,0.9999,C,0.9999,2352655091492547.0,9.108968681161654,47132.20131200006,55000.0,2235956.283420663,733.8983050847457,2278.169491525424,1176.1016949152543,4188.169491525424,2296421362.3276143,47127.488091868865,2296374234.8395224,263648160.92611283,True,direct_cheaper_than_mining,-2296374234.8395224,-2032726073.9134095,11.466583139015533
599825,       (2010 CJ200),2010 CJ200,N,2.241223994831435,0.0687874723940137,23.86778098692794,2.087055861158166,214.6083912707259,51.9662495060425,1.11457,1.935,1927332009253.16,192733200925.31604,0.9999,C,0.9999,5045371751971.623,7.688344665448196,53711.95008776912,55000.0,1284468.4103065247,359.3220338983051,2476.271186440678,433.93220338983053,3269.5254237288136,1344735579.7358685,53706.57889276034,1344681873.1569757,280311269.1167374,True,direct_cheaper_than_mining,-1344681873.1569757,-1064370604.0402384,8.95147275490435
163844,163845 (2003 SP60),163845,N,2.570821066160994,0.1232399730390843,4.871673250255458,2.253993147279004,201.8577197837379,91.90391456262336,1.24386,3.306,9612186174725.12,961218617472.5122,0.9999,C,0.9999,25162791033311.836,6.258448671368882,87187.3760602805,55000.0,713039.1689154735,561.0169491525423,2080.0677966101694,495.77966101694915,3136.8644067796604,773187481.0626079,87178.65732267447,773100302.4052852,365087248.21815896,True,direct_cheaper_than_mining,-773100302.4052852,-408013054.1871263,8.588266685228366
248574,248575 (2006 BC33),248575,N,5.277662959080989,0.127422605899272,27.87681542993802,4.605169391776826,346.9568167387727,308.0864351923874,3.66019,13.066,593391864469612.2,59339186446961.23,0.9999,C,0.9999,1553381844161288.8,10.663041057944852,35487.84983180954,55000.0,3076373.2966919695,993.2203389830509,49.52542372881356,1114.2542372881355,2157.0,3137013182.3376813,35484.30104682636,3136977698.0366344,234159027.65728286,True,direct_cheaper_than_mining,-3136977698.0366344,-2902818670.3793516,5.905544147843942
258688,258689 (2002 FO25),258689,N,3.157532313188184,0.2328034983911914,16.66840887333234,2.422447744394744,76.6768392828967,135.7425464145193,1.44345,6.722,80799588798626.25,8079958879862.625,0.9999,C,0.9999,211517248163943.06,8.150685066965544,51089.28783345023,55000.0,1283612.7323209392,676.271186440678,2179.1186440677966,433.93220338983053,3289.322033898305,1343879723.769262,51084.178904666886,1343828639.5903573,273669419.0430505,True,direct_cheaper_than_mining,-1343828639.5903573,-1070159220.5473068,9.005672919639439
154959,154960 (2004 TK186),154960,N,3.967611036912134,0.1465270500353602,2.320579440868345,3.386248695985663,356.0186714183376,120.1106980261897,2.40371,9.194,206741243646394.5,20674124364639.45,0.9999,C,0.9999,541207444100509.2,8.513974845839638,62595.384912966954,55000.0,1380703.4347023852,561.0169491525423,1535.2881355932202,619.4745762711864,2715.779661016949,1440990621.0168033,62589.12537447566,1440928031.8914287,302808425.26071686,True,direct_cheaper_than_mining,-1440928031.8914287,-1138119606.6307118,7.435399482592604
36181, 36182 Montigiani (1999 TY12),36182,N,3.977721139224005,0.2033256009955545,4.48377460229751,3.168948597998562,55.34673395304844,320.6393986221533,2.17155,12.483,517452557436714.06,51745255743671.41,0.9999,C,0.9999,1354587846692968.8,9.632261125430306,68287.27565830034,55000.0,1433741.8976543483,877.9661016949153,297.1525423728813,681.3220338983051,1856.4406779661017,1494040115.9690604,68280.44693073451,1493971835.5221298,317223047.2365566,True,direct_cheaper_than_mining,-1493971835.5221298,-1176748788.2855732,5.082657571433543
611551,       (2010 OA45),2010 OA45,N,2.463781197100884,0.1268157068200221,12.39366475403585,2.151335043140655,272.4645326053221,127.5522350868138,1.18515,2.957,6878085969212.201,687808596921.2202,0.9999,C,0.9999,18005460652387.96,6.538502183781079,80392.01003164296,55000.0,1039426.2665326772,388.135593220339,2822.9491525423728,433.93220338983053,3645.0169491525426,1099642467.196116,80383.9708306398,1099562083.2252853,347878092.79461515,True,direct_cheaper_than_mining,-1099562083.2252853,-751683990.4306701,9.97951252334714
84102, 84103 (2002 RH12),84103,N,3.993084405006487,0.1612780577199409,11.29235522998108,3.349087507855254,179.3293105962615,191.8344813010492,2.34892,12.540,524573364982538.75,52457336498253.875,0.9999,C,0.9999,1373228704142771.5,8.948329320591972,61694.776051643756,55000.0,1433788.5337360369,935.5932203389831,49.52542372881356,866.8644067796611,1851.9830508474577,1494086761.7510538,61688.60657403859,1494025073.1444798,300527647.7713195,True,direct_cheaper_than_mining,-1494025073.1444798,-1193497425.3731604,5.070453253518022
