dataset_index,full_name,pdes,neo,a,e,i,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
454592,454593 (2014 PC44),454593,N,3.562212343922236,0.0262424326712541,19.11640779192791,2.48458,4.905,31392843958533.344,3139284395853.3345,0.9999,C,0.9999,82180219786736.5,8.101742451165306,330603.92808572354,55000.0,1692936.4357478363,532.2033898305085,0.0,928.7118644067797,1460.915254237288,1753288566.5264719,330570.86769291497,1752957995.658779,981535760.1622455,True,direct_cheaper_than_mining,-1752957995.658779,-771422235.4965334,3.999767978746853
237322,237323 (2009 BP88),237323,N,3.985464236787449,0.0995381918070384,6.431863003907528,2.57767,5.941,55781769057335.234,5578176905733.523,0.9999,C,0.9999,146025573448521.56,7.882717494937661,337533.7501642323,55000.0,1321115.3903342579,561.0169491525423,1436.2372881355932,681.3220338983051,2678.576271186441,1381390182.3354473,337499.99678921583,1381052682.338658,999085423.3744969,True,direct_cheaper_than_mining,-1381052682.338658,-381967258.96416116,7.333542152461166
41799, 41800 Robwilliams (2000 WM19),41800,N,2.606275531686022,0.2324155984360092,25.00212043047111,1.17976,8.100,141373719018003.8,14137371901800.385,0.9999,C,0.9999,370088269680638.25,6.485952844603705,330365.50530567026,55000.0,1498128.1811800604,532.2033898305085,495.2542372881356,681.3220338983051,1708.7796610169491,1558439791.8417459,330332.4687551397,1558109459.3729906,980931958.2976867,True,direct_cheaper_than_mining,-1558109459.3729906,-577177501.0753039,4.678383739950579
599880,       (2010 CM205),2010 CM205,N,2.441543636329007,0.0543835382835499,12.43286861621262,1.2942,2.576,4547274821540.876,454727482154.0877,0.9999,C,0.9999,11903860789374.02,6.614580345335405,356725.8068168345,55000.0,747103.9227844161,445.7627118644068,2723.8983050847455,495.77966101694915,3665.4406779661012,807259320.4003552,356690.1342361528,806902630.2661191,1047688998.8758317,True,mining_cheaper_than_direct,-806902630.2661191,240786368.6097126,10.035429645355514
26079, 26080 Pablomarques (1980 EF),26080,N,2.278363434435866,0.1588758637901955,9.878615362413056,0.917853,7.207,99581162612480.1,9958116261248.01,0.9999,C,0.9999,260683671760419.1,7.1147454802687315,359819.3254067773,55000.0,565892.5142299425,388.135593220339,1337.186440677966,495.77966101694915,2221.101694915254,626010219.8729023,359783.34347423667,625650436.529428,1055523285.0637419,True,mining_cheaper_than_direct,-625650436.529428,429872848.5343139,6.081045023724172
161333,161334 (2003 QY103),161334,N,4.023693748199836,0.2339815962799865,6.644852769116913,2.09518,9.229,209111329950323.44,20911132995032.344,0.9999,C,0.9999,547411858508700.06,9.050036177612649,347980.98527924734,55000.0,1161685.5975984877,906.7796610169491,49.52542372881356,866.8644067796611,1823.1694915254238,1221927228.2027884,347946.1871807194,1221579282.0156076,1025542878.6584245,True,direct_cheaper_than_mining,-1221579282.0156076,-196036403.3571831,4.991566027448115
208694,208695 (2002 GZ181),208695,N,3.980097449175787,0.1000378075765162,15.53559798033039,2.61574,10.042,269385538279766.1,26938553827976.61,0.9999,C,0.9999,705197744187869.4,8.995020202659763,333903.34449278645,55000.0,2164466.093166557,503.3898305084746,49.52542372881356,928.7118644067797,1481.6271186440677,2224916302.113936,333869.95415833715,2224582432.1597776,989891479.2680079,True,direct_cheaper_than_mining,-2224582432.1597776,-1234690952.89177,4.056473973015928
607662,       (2010 LG21),2010 LG21,N,2.791305310553811,0.2026118674020247,21.9214782955583,1.33638,2.489,4101930672624.873,410193067262.4873,0.9999,C,0.9999,10738038410012.756,6.299087558883486,337488.3684299078,55000.0,1549284.6409701074,474.5762711864407,594.3050847457627,619.4745762711864,1688.3559322033898,1609606892.175429,337454.61959306477,1609269437.555836,998970494.8605523,True,direct_cheaper_than_mining,-1609269437.555836,-610298942.6952837,4.622466617942203
298746,298747 (2004 GU76),298747,N,2.180586461476801,0.3022378901199143,8.035885707446221,0.511602,2.177,2744662276732.4917,274466227673.2492,0.9999,C,0.9999,7184979782022.2295,6.885016989849024,378681.8951905139,55000.0,589542.7147759489,330.50847457627117,2327.694915254237,619.4745762711864,3277.6779661016944,649665339.6606222,378644.0270009949,649286695.6336212,1103292440.3568895,True,mining_cheaper_than_direct,-649286695.6336212,454005744.7232683,8.973793199457068
603727,       (2010 GQ163),2010 GQ163,N,2.312918212209951,0.0879955599812276,21.9395819738553,1.15883,1.654,1203705214295.722,120370521429.5722,0.9999,C,0.9999,3151060770407.649,6.001375981220681,343230.02625235985,55000.0,1518238.7947899457,589.8305084745763,1287.6610169491526,310.2372881355932,2187.728813559322,1578554588.459262,343195.7032497346,1578211392.7560122,1013511151.1605921,True,direct_cheaper_than_mining,-1578211392.7560122,-564700241.5954201,5.989675054234969
17420, 17421 (1988 SW1),17421,N,5.139264139602363,0.0996258373034696,16.92847021167714,3.63162,23.785,3579505989567829.0,357950598956782.94,0.9999,C,0.9999,9370434527664474.0,9.23150597980333,321584.13860368147,55000.0,2287713.345924524,906.7796610169491,49.52542372881356,866.8644067796611,1823.1694915254238,2348189190.3004766,321551.9801898211,2347867638.3202868,958693288.037866,True,direct_cheaper_than_mining,-2347867638.3202868,-1389174350.2824206,4.991566027448115
82022, 82023 (2000 SG34),82023,N,3.983056336390155,0.0395697376711174,3.970152961864522,2.84226,11.094,363226989178526.8,36322698917852.68,0.9999,C,0.9999,950855992613944.5,8.041535717000242,341595.7877463052,55000.0,1339368.1756720317,676.271186440678,0.0,805.0169491525423,1481.2881355932204,1399646764.2525713,341561.6281675306,1399305202.6244037,1009372468.3683316,True,direct_cheaper_than_mining,-1399305202.6244037,-389932734.25607216,4.0555458880033415
72199, 72200 (2000 YQ132),72200,N,2.794519671683476,0.176504951388712,15.63342604656182,1.31768,7.066,93850053706408.78,9385005370640.88,0.9999,C,0.9999,245680768864944.47,8.652189682313752,348920.1149573306,55000.0,1824371.9178387865,416.9491525423729,841.9322033898304,743.1694915254237,2002.0508474576272,1884751387.1976972,348885.22294583486,1884402501.9747512,1027921209.4981303,True,direct_cheaper_than_mining,-1884402501.9747512,-856481292.4766209,5.481316488590355
597073,       (2010 AX85),2010 AX85,N,2.444840865694446,0.1374420851102082,28.4328872022401,1.11678,3.573,12134242634898.902,1213424263489.8904,0.9999,C,0.9999,31765033075651.574,5.822276813234907,337202.88801022066,55000.0,2030448.107069164,416.9491525423729,643.8305084745763,619.4745762711864,1680.2542372881355,2090870440.2754345,337169.16772141965,2090533271.107713,998247520.2787461,True,direct_cheaper_than_mining,-2090533271.107713,-1092285750.8289669,4.60028538614137
